oldcode;dis_nom;dep_code;dep_nom;spr_code;spr_nom;pop_tot;men_tot;men_ecl_elec;men_ecl_group;men_ecl_solaire;men_ecl_lampe;men_ecl_bois;men_ecl_torche;men_ecl_autre
CI220105;Goh-Djiboua;F3;Divo;F305;Nébo;32516;5602;926;50;3197;74;2;1346;7
CI220106;Goh-Djiboua;F3;Divo;F306;Ogoudou;72586;13042;8737;87;2569;170;13;1465;1
CI220107;Goh-Djiboua;F3;Divo;F307;Zégo;33278;4421;2036;100;1267;344;4;670;0
CI220202;Goh-Djiboua;F4;Guitry;F401;Dairo Didizo;59267;9164;4411;65;2572;34;8;2072;2
CI220201;Goh-Djiboua;F4;Guitry;F402;Guitry;79231;14257;8320;109;4031;332;10;1439;16
CI220203;Goh-Djiboua;F4;Guitry;F403;Lauzoua;32024;5400;455;183;3656;239;11;854;2
CI220204;Goh-Djiboua;F4;Guitry;F404;Yocoboué;26713;4425;2575;51;1466;40;2;288;3
CI220302;Goh-Djiboua;F5;Lakota;F501;Djidji;16114;2884;2493;2;226;18;0;142;3
CI220304;Goh-Djiboua;F5;Lakota;F502;Kadéko;19959;3002;2339;4;323;7;1;325;3
CI220303;Goh-Djiboua;F5;Lakota;F503;Goudouko;32677;6722;3912;102;1288;152;4;1225;39
CI220301;Goh-Djiboua;F5;Lakota;F504;Lakota;169330;33968;26119;253;3863;254;54;3367;58
CI220305;Goh-Djiboua;F5;Lakota;F505;Niambézaria;84303;14338;7008;239;4933;217;15;1918;8
CI220306;Goh-Djiboua;F5;Lakota;F506;Zikisso;11851;2260;2050;5;122;2;0;79;2
CI060101;Lacs;G1;Didievi;G101;Boli;14006;2313;1711;8;35;1;0;558;0
CI060102;Lacs;G1;Didievi;G102;Didievi;26500;4867;4119;4;94;11;6;628;5
CI060103;Lacs;G1;Didievi;G103;Molonou-Blé;22431;3600;2837;4;123;13;2;619;2
CI060104;Lacs;G1;Didievi;G104;Raviart;18339;2923;2141;2;80;2;3;695;0
CI060105;Lacs;G1;Didievi;G105;Tie N'Diékro;12353;2158;1393;3;84;3;0;675;0
CI060201;Lacs;G2;Djekanou;G201;Bonikro;10337;2824;2310;6;118;6;2;377;5
CI060202;Lacs;G2;Djekanou;G202;Djékanou;26944;5978;4183;18;515;71;0;1180;11
