"dis_code";"dis_nom";"dep_code";"dep_nom";"dis_cap";"pop";"men";"sup";"km_abidj";"km_yamou";"km_capdis";"men_ecl_elec";"men_ecl_group";"men_ecl_lampe";"men_ecl_bois";"men_ecl_torche";"men_ecl_autre"
"G";"Lacs";"GA";"Dimbokro";1;102192;22523;1576,37056177225;177,901792208567;65,8046833439267;15,9988206209951;19296;39;74;3;2743;27
"G";"Lacs";"GB";"Kouassi-Kouassikro";0;30962;5050;699,542037027805;226,406980619723;92,1864774965029;67,4685582022832;2764;40;25;10;1756;16
"G";"Lacs";"GC";"Arrah";0;103846;21198;1548,13871064151;158,158451627629;149,809502082195;82,3191709608314;17691;182;163;9;2461;5
"G";"Lacs";"GD";"Bongouanou";0;193159;40440;1623,10124441193;157,465895134107;121,611713125399;54,3937108250456;35138;131;316;63;4150;47
"G";"Lacs";"GE";"M'Batto";0;142750;24787;2434,10003144079;135,436830095025;99,9125347211485;36,2302953185528;19767;34;334;36;3352;23
"H";"Lagunes";"H1";"Dabou";1;213581;45782;1464,05507873114;57,2761203527925;174,567484435885;15,8884879092718;41537;127;245;183;2059;32
"H";"Lagunes";"H2";"Grand-Lahou";0;155831;29267;2328,79869338751;109,297045874467;162,612559421072;68,9803675508967;14464;1092;402;99;4498;13
"H";"Lagunes";"H3";"Jacqueville";0;80593;18111;658,588581776532;57,5174678653049;190,947853786563;21,5648121330068;14481;180;160;22;1906;7
"H";"Lagunes";"H4";"Agboville";0;384339;70131;4075,22384359894;73,3464283339051;147,78136921531;64,2492777918509;57239;343;600;115;6300;118
"H";"Lagunes";"H5";"Sikensi";0;125897;22510;765,175428354708;67,5601620434617;150,704957490951;35,5146379946462;17922;105;355;33;1983;8
"H";"Lagunes";"H6";"Taabo";0;76761;14754;932,448464220635;141,847547339872;75,3723028169317;110,73836886493;10120;147;74;12;2342;45
