"lon";"lat";"duree";"groupe";"sexe";"age";"statut";"instr";"habitat";"tailmen";"tailmen_4";"enfmen";"enfmen_4";"sac_riz";"orig";"raison";"transport";"alim";"mines";"cmu";"cmu_utilise";"eau_autre";"eau_bouteille";"eau_forage";"eau_robinet"
-5,024487;7,697266;NA;"7.Transport";"Homme";"45+";"Marié ou concubinage";"Secondaire";"Maison";3;"(0,4]";1;"(0,2]";1;"Bouaké";"Grossiste";"moto";"non";NA;"oui";"non";0;0;0;1
-5,024707;7,697682;16,8474000016848;"6.Urbanisation";"Homme";"30-44";"Marié ou concubinage";"Ecole coranique";"Maison";12;"(8,16]";3;"(2,4]";2;"Bouaké";"Autre";"taxi-moto";"non";"2.Négative";"non";NA;1;0;0;0
NA;NA;7,40180000066757;NA;"Femme";"30-44";"Marié ou concubinage";"Aucun";"Maison";10;"(8,16]";2;"(0,2]";2;"Bouaké";"Transporteur";"taxi";"oui";NA;"non";NA;0;1;0;1
-5,02474;7,697675;9,83031666676203;"6.Urbanisation";"Homme";"45+";"Marié ou concubinage";"Ecole coranique";"Maison";20;"(16,30]";9;"(8,25]";8;"Bouaké";"Grossiste";"taxi-moto";"non";NA;"oui";"non";0;1;1;1
-5,024845;7,697086;12,8161666671435;"4.Mines";"Homme";"30-44";"Marié ou concubinage";"Primaire";"Maison";9;"(8,16]";3;"(2,4]";2;"Etranger";"Commerçant";"taxi-moto";"non";"2.Négative";"non";NA;0;0;1;0
-5,024719;7,697137;10,7926166653633;"3.Eau";"Homme";"30-44";"Marié ou concubinage";"Aucun";"Villa";21;"(16,30]";12;"(8,25]";8;"Bouaké";"Grossiste";"auto";"non";"4.Positive";"non";NA;0;0;0;1
-5,025059;7,697153;8,64220000108083;"7.Transport";"Homme";"45+";"Marié ou concubinage";"Secondaire";NA;11;"(8,16]";13;"(8,25]";2;"Bouaké";"Grossiste";"auto";"non";"2.Négative";"non";NA;0;0;0;1
-5,024844;7,697675;14,2616833329201;"6.Urbanisation";"Homme";"45+";"Marié ou concubinage";"Primaire";"Maison";10;"(8,16]";6;"(4,8]";4;"Bouaké";"Commerçant";"taxi-moto";"non";NA;"oui";"non";1;1;0;0
-5,02494;7,697176;13,2035666664441;"7.Transport";"Homme";"45+";"Marié ou concubinage";"Secondaire";"Maison";4;"(0,4]";2;"(0,2]";4;"Bouaké";"Commerçant";"moto";"non";"5.Très positive";"oui";"non";0;0;0;1
-5,025359;7,698487;16,6922166665395;"2.Démographie";"Femme";"30-44";"Marié ou concubinage";"Secondaire";"Maison";10;"(8,16]";8;"(4,8]";1;"Bouaké";"Grossiste";"auto";"oui";"3.Neutre";"oui";"oui";0;0;0;1
-5,024928;7,697154;11,2942000031471;"3.Eau";"Homme";"30-44";"Marié ou concubinage";"Secondaire";"Précaire";6;"(4,8]";4;"(2,4]";1;"Bouaké";"Transporteur";"moto";"non";"1.Très négative";"oui";"non";0;0;1;1
-5,025357;7,697428;11,4350333333015;"4.Mines";"Homme";"45+";"Marié ou concubinage";"Secondaire";"Maison";10;"(8,16]";7;"(4,8]";3;"Bouaké";"Commerçant";"auto";"oui";"2.Négative";"non";NA;0;0;0;1
NA;NA;7,48808333476384;NA;"Femme";"18-29";"Célibataire";"Secondaire";"Précaire";10;"(8,16]";3;"(2,4]";3;"Bouaké";"Particulier";"marche";"oui";NA;"non";NA;0;1;0;1
-5,025528;7,697608;16,4021833340327;"8. Autres";"Homme";"45+";"Marié ou concubinage";"Aucun";"Maison";30;"(16,30]";25;"(8,25]";10;"Bouaké";"Grossiste";"moto";"non";"1.Très négative";"non";NA;1;0;0;1
-5,023217;7,697117;12,5329666694005;"5.Santé";"Femme";"45+";"Marié ou concubinage";"Secondaire";"Villa";25;"(16,30]";20;"(8,25]";2;"Bouaké";"Grossiste";"taxi";"non";"4.Positive";"oui";"non";0;0;1;0
NA;NA;14,9925999999046;"2.Démographie";"Homme";"30-44";"Marié ou concubinage";"Secondaire";"Maison";3;"(0,4]";1;"(0,2]";1;"Bouaké";"Particulier";"marche";"non";"3.Neutre";"oui";"non";0;0;0;1
-5,025265;7,697307;12,4768666664759;"7.Transport";"Homme";"45+";"Marié ou concubinage";"Primaire";"Autre";30;"(16,30]";20;"(8,25]";4;"Bouaké";"Commerçant";"taxi-moto";"non";NA;"non";NA;1;0;0;0
-5,024931;7,697173;14,4534166693687;"4.Mines";"Homme";"30-44";"Marié ou concubinage";"Ecole coranique";"Précaire";16;"(8,16]";10;"(8,25]";3;"Bouaké";"Commerçant";"taxi-moto";"non";"3.Neutre";"oui";"oui";0;0;0;1
-5,023534;7,696584;14,7210333307584;"5.Santé";"Homme";"30-44";"Marié ou concubinage";"Primaire";"Maison";3;"(0,4]";2;"(0,2]";1;"Bouaké";"Grossiste";"taxi-moto";"non";"5.Très positive";"oui";"non";0;0;0;1
-5,025601;7,697256;5,1590499997139;"7.Transport";"Homme";"45+";"Marié ou concubinage";"Primaire";"Villa";8;"(4,8]";3;"(2,4]";4;"Bouaké";"Grossiste";"auto";"non";"5.Très positive";"oui";"oui";0;0;0;1
-5,025576;7,697602;18,2485499978065;"7.Transport";"Homme";"30-44";"Marié ou concubinage";"Ecole coranique";"Autre";4;"(0,4]";3;"(2,4]";2;"Bouaké";"Commerçant";"moto";"oui";"1.Très négative";"oui";"non";1;0;0;1
-5,023503;7,696587;23,742549999555;"5.Santé";"Homme";"30-44";"Célibataire";"Supérieur";"Autre";15;"(8,16]";5;"(4,8]";6;"Bouaké";"Grossiste";"moto";"oui";"2.Négative";"oui";"oui";0;0;1;0
-5,027226;7,699;14,1640000025431;"1.Agriculture";"Homme";"45+";"Marié ou concubinage";"Ecole coranique";"Maison";20;"(16,30]";16;"(8,25]";6;"Bouaké";"Commerçant";"auto";"oui";"1.Très négative";"oui";"oui";0;0;0;1
-5,025649;7,697641;20,5791333357493;"8. Autres";"Homme";"18-29";"Célibataire";"Primaire";"Autre";20;"(16,30]";8;"(4,8]";1;"Bouaké";"Commerçant";"taxi-moto";"non";"3.Neutre";"non";NA;1;1;0;0
-5,027202;7,699044;24,483300002416;"1.Agriculture";"Homme";"30-44";"Marié ou concubinage";"Ecole coranique";"Maison";20;"(16,30]";6;"(4,8]";4;"Bouaké";"Commerçant";"taxi";"non";"3.Neutre";"non";NA;0;0;1;0
NA;NA;5,87264999945958;NA;"Femme";"18-29";"Célibataire";"Supérieur";"Autre";3;"(0,4]";0;NA;2;"Bouaké";"Particulier";"marche";"oui";NA;"oui";"non";0;1;0;1
-5,025351;7,697127;8,55148333311081;"7.Transport";"Homme";"30-44";"Marié ou concubinage";"Ecole coranique";NA;24;"(16,30]";17;"(8,25]";6;"Bouaké";"Grossiste";"auto";"non";"2.Négative";"oui";"non";0;0;0;1
-5,024617;7,69769;13,5104500015577;"6.Urbanisation";"Homme";NA;"Marié ou concubinage";"Primaire";"Maison";9;"(8,16]";7;"(4,8]";3;"Bouaké";"Commerçant";"auto";"non";NA;"oui";"non";0;1;1;1
-5,024939;7,697169;6,66971666812897;"3.Eau";"Homme";"30-44";"Marié ou concubinage";"Secondaire";"Précaire";6;"(4,8]";4;"(2,4]";1;"Bouaké";"Transporteur";"moto";"non";"3.Neutre";"oui";"non";0;0;1;0
-5,02522;7,69723;5,71071666876475;"4.Mines";"Homme";"30-44";"Marié ou concubinage";"Aucun";"Précaire";18;"(16,30]";13;"(8,25]";8;"Bouaké";"Commerçant";"auto";"oui";"3.Neutre";"oui";"non";0;0;0;1
-5,025725;7,697685;23,2369333346685;"2.Démographie";"Homme";"45+";"Marié ou concubinage";"Primaire";"Maison";24;"(16,30]";8;"(4,8]";NA;"Bouaké";"Commerçant";"taxi-moto";"non";"1.Très négative";"oui";"non";0;0;1;0
-5,027682;7,699007;NA;"1.Agriculture";"Homme";"45+";"Marié ou concubinage";"Ecole coranique";"Maison";10;"(8,16]";7;"(4,8]";6;"Bouaké";"Grossiste";"taxi-moto";"oui";"2.Négative";"oui";"oui";0;0;1;1
-5,024919;7,69714;13,5272833347321;"4.Mines";"Homme";"45+";"Marié ou concubinage";"Aucun";"Précaire";9;"(8,16]";7;"(4,8]";2;"Bouaké";"Autre";"marche";"oui";"2.Négative";"non";NA;0;0;1;0
-5,025265;7,697307;7,77691666682561;"7.Transport";"Homme";"30-44";"Marié ou concubinage";"Supérieur";"Autre";15;"(8,16]";3;"(2,4]";4;"Bouaké";"Commerçant";"auto";"non";NA;"oui";"non";0;1;0;0
-5,025664;7,697632;5,11453333298365;"8. Autres";"Homme";"45+";"Marié ou concubinage";"Secondaire";"Maison";5;"(4,8]";3;"(2,4]";1;"Bouaké";"Particulier";"taxi";"non";"1.Très négative";"non";NA;1;1;0;1
-5,025627;7,697605;7,00931666692098;"7.Transport";"Homme";"18-29";"Célibataire";"Secondaire";"Autre";20;"(16,30]";1;"(0,2]";2;"Bouaké";"Grossiste";"taxi-moto";"oui";"2.Négative";"non";NA;0;0;0;1
-5,024647;7,697694;8,82711666822433;"6.Urbanisation";"Homme";"30-44";"Marié ou concubinage";"Primaire";"Autre";5;"(4,8]";3;"(2,4]";1;"Bouaké";"Commerçant";"moto";"non";NA;"oui";"non";0;0;1;0
-5,023207;7,697627;4,29703333377838;"2.Démographie";"Homme";"30-44";"Marié ou concubinage";"Secondaire";"Maison";15;"(8,16]";11;"(8,25]";5;"Etranger";"Transporteur";"moto";"non";"1.Très négative";"non";NA;0;1;0;0
NA;NA;7,2040333310763;NA;"Femme";"18-29";"Célibataire";"Aucun";"Précaire";5;"(4,8]";1;"(0,2]";2;"Bouaké";"Particulier";"gbaka";"oui";NA;"non";NA;0;1;0;1
-5,02436;7,697581;18,6201166669528;"3.Eau";"Homme";"30-44";"Marié ou concubinage";"Secondaire";"Maison";8;"(4,8]";2;"(0,2]";1;"Etranger";"Transporteur";"taxi";"non";"1.Très négative";"oui";"non";0;0;1;1
-5,023195;7,697616;2,73456666866938;"2.Démographie";"Homme";"30-44";"Marié ou concubinage";"Primaire";"Maison";6;"(4,8]";4;"(2,4]";1;"Bouaké";"Grossiste";"auto";"oui";"3.Neutre";"oui";"oui";0;0;0;1
-5,024687;7,697638;23,7901166637739;"6.Urbanisation";"Homme";"30-44";"Marié ou concubinage";"Ecole coranique";"Maison";6;"(4,8]";4;"(2,4]";1;"Bouaké";"Commerçant";"auto";"non";"1.Très négative";"oui";"non";0;0;1;0
